config_id,phase,mode,seed,source,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
O-FAPI3_wide_rotation_13,O-FAPI3,wide_rotation,2398685055,O-FAPI3/CONTCAR,48,,2,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_13
O-FAPI3_wide_rotation_14,O-FAPI3,wide_rotation,2186111541,O-FAPI3/CONTCAR,48,,2,1.0189468527998746,O-FAPI3/O-FAPI3_wide_rotation_14
O-FAPI3_cage_rattle_01,O-FAPI3,cage_rattle,503860372,O-FAPI3/CONTCAR,48,0.04453468737217805,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_01
O-FAPI3_cage_rattle_02,O-FAPI3,cage_rattle,4064901548,O-FAPI3/CONTCAR,48,0.01986096791290337,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_02
O-FAPI3_cage_rattle_03,O-FAPI3,cage_rattle,3935526796,O-FAPI3/CONTCAR,48,0.03004327140375114,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_03
O-FAPI3_cage_rattle_04,O-FAPI3,cage_rattle,3113752695,O-FAPI3/CONTCAR,48,0.035898392513559314,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_04
O-FAPI3_cage_rattle_05,O-FAPI3,cage_rattle,3467449491,O-FAPI3/CONTCAR,48,0.04446887483930706,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_05
O-FAPI3_cage_rattle_06,O-FAPI3,cage_rattle,2175475145,O-FAPI3/CONTCAR,48,0.026367562433048837,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_06
O-FAPI3_cage_rattle_07,O-FAPI3,cage_rattle,3496495698,O-FAPI3/CONTCAR,48,0.03457965445695243,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_07
O-FAPI3_cage_rattle_08,O-FAPI3,cage_rattle,3973188120,O-FAPI3/CONTCAR,48,0.026418011249668104,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_08
O-FAPI3_cage_rattle_09,O-FAPI3,cage_rattle,3541597839,O-FAPI3/CONTCAR,48,0.015973262346961198,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_09
O-FAPI3_cage_rattle_10,O-FAPI3,cage_rattle,2813790788,O-FAPI3/CONTCAR,48,0.039444636305572565,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_10
O-FAPI3_cage_rattle_11,O-FAPI3,cage_rattle,3981943076,O-FAPI3/CONTCAR,48,0.02815908784987723,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_11
O-FAPI3_cage_rattle_12,O-FAPI3,cage_rattle,4244842573,O-FAPI3/CONTCAR,48,0.03152351174058872,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_12
O-FAPI3_cage_rattle_13,O-FAPI3,cage_rattle,756447363,O-FAPI3/CONTCAR,48,0.02892776553489411,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_13
O-FAPI3_cage_rattle_14,O-FAPI3,cage_rattle,286016455,O-FAPI3/CONTCAR,48,0.03247692960477914,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_14
O-FAPI3_cage_rattle_15,O-FAPI3,cage_rattle,583389517,O-FAPI3/CONTCAR,48,0.04851978303514848,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_15
O-FAPI3_cage_rattle_16,O-FAPI3,cage_rattle,3834880372,O-FAPI3/CONTCAR,48,0.04537622187050053,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_16
O-FAPI3_cage_rattle_17,O-FAPI3,cage_rattle,1416337329,O-FAPI3/CONTCAR,48,0.044296440756493555,0,1.0189468527998746,O-FAPI3/O-FAPI3_cage_rattle_17
O-FAPI3_all_rattle_01,O-FAPI3,all_rattle,1563858520,O-FAPI3/CONTCAR,48,0.03937395450630861,0,0.9284654871635035,O-FAPI3/O-FAPI3_all_rattle_01
O-FAPI3_all_rattle_02,O-FAPI3,all_rattle,4291043517,O-FAPI3/CONTCAR,48,0.0674584458948992,0,0.8728363296467746,O-FAPI3/O-FAPI3_all_rattle_02
O-FAPI3_all_rattle_03,O-FAPI3,all_rattle,801975523,O-FAPI3/CONTCAR,48,0.0420685139997386,0,0.8777307436185754,O-FAPI3/O-FAPI3_all_rattle_03
O-FAPI3_all_rattle_04,O-FAPI3,all_rattle,1399279438,O-FAPI3/CONTCAR,48,0.059741859238804915,0,0.8087683071357182,O-FAPI3/O-FAPI3_all_rattle_04
O-FAPI3_all_rattle_05,O-FAPI3,all_rattle,4221752773,O-FAPI3/CONTCAR,48,0.030204949789708106,0,0.9395310516331172,O-FAPI3/O-FAPI3_all_rattle_05
O-FAPI3_all_rattle_06,O-FAPI3,all_rattle,1810035654,O-FAPI3/CONTCAR,48,0.04776373103305841,0,0.9253093494011927,O-FAPI3/O-FAPI3_all_rattle_06
O-FAPI3_all_rattle_07,O-FAPI3,all_rattle,505649648,O-FAPI3/CONTCAR,48,0.03169274055930926,0,0.9874126498169522,O-FAPI3/O-FAPI3_all_rattle_07
O-FAPI3_all_rattle_08,O-FAPI3,all_rattle,1785881256,O-FAPI3/CONTCAR,48,0.06274956314390423,0,0.8555741223914411,O-FAPI3/O-FAPI3_all_rattle_08
O-FAPI3_all_rattle_09,O-FAPI3,all_rattle,3502927691,O-FAPI3/CONTCAR,48,0.04150174302453259,0,0.9363625499453773,O-FAPI3/O-FAPI3_all_rattle_09
O-FAPI3_all_rattle_10,O-FAPI3,all_rattle,1185326591,O-FAPI3/CONTCAR,48,0.023843581538038283,0,0.9731912784810535,O-FAPI3/O-FAPI3_all_rattle_10
O-FAPI3_all_rattle_11,O-FAPI3,all_rattle,642498790,O-FAPI3/CONTCAR,48,0.05920562273214132,0,0.8970777862307361,O-FAPI3/O-FAPI3_all_rattle_11
O-FAPI3_all_rattle_12,O-FAPI3,all_rattle,1398200938,O-FAPI3/CONTCAR,48,0.020837223505435848,0,0.9894118009924118,O-FAPI3/O-FAPI3_all_rattle_12
O-FAPI3_all_rattle_13,O-FAPI3,all_rattle,1058797482,O-FAPI3/CONTCAR,48,0.06718186051868008,0,0.9041670192747622,O-FAPI3/O-FAPI3_all_rattle_13
O-FAPI3_all_rattle_14,O-FAPI3,all_rattle,200719959,O-FAPI3/CONTCAR,48,0.051315019891603086,0,0.8423614976830943,O-FAPI3/O-FAPI3_all_rattle_14
O-FAPI3_all_rattle_15,O-FAPI3,all_rattle,600379232,O-FAPI3/CONTCAR,48,0.038666198418763835,0,0.8841093260362022,O-FAPI3/O-FAPI3_all_rattle_15
O-FAPI3_all_rattle_16,O-FAPI3,all_rattle,2685357719,O-FAPI3/CONTCAR,48,0.053633121955665,0,0.8350223325592337,O-FAPI3/O-FAPI3_all_rattle_16
O-FAPI3_all_rattle_17,O-FAPI3,all_rattle,2992568113,O-FAPI3/CONTCAR,48,0.05396521804885804,0,0.9096599449410353,O-FAPI3/O-FAPI3_all_rattle_17
O-FAPI3_strain_rattle_01,O-FAPI3,strain_rattle,2022465068,O-FAPI3/CONTCAR,48,0.028020862576360675,0,1.0038076048190645,O-FAPI3/O-FAPI3_strain_rattle_01
O-FAPI3_strain_rattle_02,O-FAPI3,strain_rattle,441987521,O-FAPI3/CONTCAR,48,0.018550491731969914,0,0.9992799515981693,O-FAPI3/O-FAPI3_strain_rattle_02
O-FAPI3_strain_rattle_03,O-FAPI3,strain_rattle,169275482,O-FAPI3/CONTCAR,48,0.028462598641995185,0,1.0169144798208232,O-FAPI3/O-FAPI3_strain_rattle_03
O-FAPI3_strain_rattle_04,O-FAPI3,strain_rattle,2271020152,O-FAPI3/CONTCAR,48,0.019802918194055108,0,1.0171531114488332,O-FAPI3/O-FAPI3_strain_rattle_04
O-FAPI3_strain_rattle_05,O-FAPI3,strain_rattle,1128934061,O-FAPI3/CONTCAR,48,0.03329118841042002,0,1.0135075181967579,O-FAPI3/O-FAPI3_strain_rattle_05
O-FAPI3_strain_rattle_06,O-FAPI3,strain_rattle,1824129788,O-FAPI3/CONTCAR,48,0.019745156386698992,0,1.0044773269182696,O-FAPI3/O-FAPI3_strain_rattle_06
O-FAPI3_strain_rattle_07,O-FAPI3,strain_rattle,3850387983,O-FAPI3/CONTCAR,48,0.03442554361497602,0,1.0015969192680279,O-FAPI3/O-FAPI3_strain_rattle_07
O-FAPI3_strain_rattle_08,O-FAPI3,strain_rattle,2874504269,O-FAPI3/CONTCAR,48,0.02082545973639008,0,1.0019986708017958,O-FAPI3/O-FAPI3_strain_rattle_08
O-FAPI3_strain_rattle_09,O-FAPI3,strain_rattle,3251871765,O-FAPI3/CONTCAR,48,0.017146691979030064,0,1.0065985167055769,O-FAPI3/O-FAPI3_strain_rattle_09
O-FAPI3_strain_rattle_10,O-FAPI3,strain_rattle,3301168938,O-FAPI3/CONTCAR,48,0.015090186289510718,0,1.0092426633495541,O-FAPI3/O-FAPI3_strain_rattle_10
O-FAPI3_strain_rattle_11,O-FAPI3,strain_rattle,1362190370,O-FAPI3/CONTCAR,48,0.025221448093049548,0,1.0042694492007795,O-FAPI3/O-FAPI3_strain_rattle_11
O-FAPI3_strain_rattle_12,O-FAPI3,strain_rattle,326179776,O-FAPI3/CONTCAR,48,0.023252968996558522,0,1.0173887573489124,O-FAPI3/O-FAPI3_strain_rattle_12
O-FAPI3_strain_rattle_13,O-FAPI3,strain_rattle,3994126595,O-FAPI3/CONTCAR,48,0.010549286911275931,0,1.0019815049260992,O-FAPI3/O-FAPI3_strain_rattle_13
O-FAPI3_strain_rattle_14,O-FAPI3,strain_rattle,229437633,O-FAPI3/CONTCAR,48,0.019412819531182474,0,1.014272024934429,O-FAPI3/O-FAPI3_strain_rattle_14
O-FAPI3_strain_rattle_15,O-FAPI3,strain_rattle,319534206,O-FAPI3/CONTCAR,48,0.03004827031126349,0,1.0115496914553568,O-FAPI3/O-FAPI3_strain_rattle_15
O-FAPI3_strain_rattle_16,O-FAPI3,strain_rattle,476823344,O-FAPI3/CONTCAR,48,0.015993195899856292,0,1.0126053414011567,O-FAPI3/O-FAPI3_strain_rattle_16
