original_config_id,config_id,old_directory,directory
t-FAPI3_parity_23,t-FAPI3_parity_23__cage_rattle__sev-0.3,t-FAPI3/t-FAPI3_parity_23,t-FAPI3/t-FAPI3_parity_23__cage_rattle__sev-0.3
t-FAPI3_parity_24,t-FAPI3_parity_24__cage_rattle__sev-0.4,t-FAPI3/t-FAPI3_parity_24,t-FAPI3/t-FAPI3_parity_24__cage_rattle__sev-0.4
t-FAPI3_parity_25,t-FAPI3_parity_25__cage_rattle__sev-0.5,t-FAPI3/t-FAPI3_parity_25,t-FAPI3/t-FAPI3_parity_25__cage_rattle__sev-0.5
t-FAPI3_parity_26,t-FAPI3_parity_26__cage_rattle__sev-0.6,t-FAPI3/t-FAPI3_parity_26,t-FAPI3/t-FAPI3_parity_26__cage_rattle__sev-0.6
t-FAPI3_parity_27,t-FAPI3_parity_27__cage_rattle__sev-0.7,t-FAPI3/t-FAPI3_parity_27,t-FAPI3/t-FAPI3_parity_27__cage_rattle__sev-0.7
t-FAPI3_parity_28,t-FAPI3_parity_28__cage_rattle__sev-0.8,t-FAPI3/t-FAPI3_parity_28,t-FAPI3/t-FAPI3_parity_28__cage_rattle__sev-0.8
t-FAPI3_parity_29,t-FAPI3_parity_29__cage_rattle__sev-0.9,t-FAPI3/t-FAPI3_parity_29,t-FAPI3/t-FAPI3_parity_29__cage_rattle__sev-0.9
t-FAPI3_parity_30,t-FAPI3_parity_30__cage_rattle__sev-1.0,t-FAPI3/t-FAPI3_parity_30,t-FAPI3/t-FAPI3_parity_30__cage_rattle__sev-1.0
t-FAPI3_parity_31,t-FAPI3_parity_31__fa_rotation_cage_rattle__sev-0.1,t-FAPI3/t-FAPI3_parity_31,t-FAPI3/t-FAPI3_parity_31__fa_rotation_cage_rattle__sev-0.1
t-FAPI3_parity_32,t-FAPI3_parity_32__fa_rotation_cage_rattle__sev-0.2,t-FAPI3/t-FAPI3_parity_32,t-FAPI3/t-FAPI3_parity_32__fa_rotation_cage_rattle__sev-0.2
t-FAPI3_parity_33,t-FAPI3_parity_33__fa_rotation_cage_rattle__sev-0.3,t-FAPI3/t-FAPI3_parity_33,t-FAPI3/t-FAPI3_parity_33__fa_rotation_cage_rattle__sev-0.3
t-FAPI3_parity_34,t-FAPI3_parity_34__fa_rotation_cage_rattle__sev-0.4,t-FAPI3/t-FAPI3_parity_34,t-FAPI3/t-FAPI3_parity_34__fa_rotation_cage_rattle__sev-0.4
t-FAPI3_parity_35,t-FAPI3_parity_35__fa_rotation_cage_rattle__sev-0.5,t-FAPI3/t-FAPI3_parity_35,t-FAPI3/t-FAPI3_parity_35__fa_rotation_cage_rattle__sev-0.5
t-FAPI3_parity_36,t-FAPI3_parity_36__fa_rotation_cage_rattle__sev-0.6,t-FAPI3/t-FAPI3_parity_36,t-FAPI3/t-FAPI3_parity_36__fa_rotation_cage_rattle__sev-0.6
t-FAPI3_parity_37,t-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7,t-FAPI3/t-FAPI3_parity_37,t-FAPI3/t-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7
t-FAPI3_parity_38,t-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8,t-FAPI3/t-FAPI3_parity_38,t-FAPI3/t-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8
t-FAPI3_parity_39,t-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9,t-FAPI3/t-FAPI3_parity_39,t-FAPI3/t-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9
t-FAPI3_parity_40,t-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0,t-FAPI3/t-FAPI3_parity_40,t-FAPI3/t-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0
t-FAPI3_parity_41,t-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1,t-FAPI3/t-FAPI3_parity_41,t-FAPI3/t-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1
t-FAPI3_parity_42,t-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2,t-FAPI3/t-FAPI3_parity_42,t-FAPI3/t-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2
t-FAPI3_parity_43,t-FAPI3_parity_43__combined_strain_rattle_fa_rotation__sev-0.3,t-FAPI3/t-FAPI3_parity_43,t-FAPI3/t-FAPI3_parity_43__combined_strain_rattle_fa_rotation__sev-0.3
t-FAPI3_parity_44,t-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4,t-FAPI3/t-FAPI3_parity_44,t-FAPI3/t-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4
t-FAPI3_parity_45,t-FAPI3_parity_45__combined_strain_rattle_fa_rotation__sev-0.5,t-FAPI3/t-FAPI3_parity_45,t-FAPI3/t-FAPI3_parity_45__combined_strain_rattle_fa_rotation__sev-0.5
t-FAPI3_parity_46,t-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6,t-FAPI3/t-FAPI3_parity_46,t-FAPI3/t-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6
t-FAPI3_parity_47,t-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7,t-FAPI3/t-FAPI3_parity_47,t-FAPI3/t-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7
t-FAPI3_parity_48,t-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8,t-FAPI3/t-FAPI3_parity_48,t-FAPI3/t-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8
t-FAPI3_parity_49,t-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9,t-FAPI3/t-FAPI3_parity_49,t-FAPI3/t-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9
t-FAPI3_parity_50,t-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0,t-FAPI3/t-FAPI3_parity_50,t-FAPI3/t-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0
