config_id,distortion_label,original_config_id,phase,family,severity,seed,natoms,rattle_sigma_A,n_rotated_fa,minimum_distance_A,directory
t-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7,fa_rotation_cage_rattle,t-FAPI3_parity_37,t-FAPI3,fa_rotation_cage_rattle,0.7,2609231216,24,0.0875,2,1.018400480503897,t-FAPI3/t-FAPI3_parity_37__fa_rotation_cage_rattle__sev-0.7
t-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8,fa_rotation_cage_rattle,t-FAPI3_parity_38,t-FAPI3,fa_rotation_cage_rattle,0.8,3368606190,24,0.095,2,1.018400480503899,t-FAPI3/t-FAPI3_parity_38__fa_rotation_cage_rattle__sev-0.8
t-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9,fa_rotation_cage_rattle,t-FAPI3_parity_39,t-FAPI3,fa_rotation_cage_rattle,0.9,3575675057,24,0.10250000000000001,1,1.0184004805038975,t-FAPI3/t-FAPI3_parity_39__fa_rotation_cage_rattle__sev-0.9
t-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0,fa_rotation_cage_rattle,t-FAPI3_parity_40,t-FAPI3,fa_rotation_cage_rattle,1.0,832899202,24,0.11,2,1.0184004805038978,t-FAPI3/t-FAPI3_parity_40__fa_rotation_cage_rattle__sev-1.0
t-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1,combined_strain_rattle_fa_rotation,t-FAPI3_parity_41,t-FAPI3,combined,0.1,1496963730,24,0.044000000000000004,1,0.9378376577962787,t-FAPI3/t-FAPI3_parity_41__combined_strain_rattle_fa_rotation__sev-0.1
t-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2,combined_strain_rattle_fa_rotation,t-FAPI3_parity_42,t-FAPI3,combined,0.2,4025090763,24,0.053000000000000005,2,0.925432976972807,t-FAPI3/t-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2
t-FAPI3_parity_43__combined_strain_rattle_fa_rotation__sev-0.3,combined_strain_rattle_fa_rotation,t-FAPI3_parity_43,t-FAPI3,combined,0.3,746978458,24,0.062,1,0.8294558016645833,t-FAPI3/t-FAPI3_parity_43__combined_strain_rattle_fa_rotation__sev-0.3
t-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4,combined_strain_rattle_fa_rotation,t-FAPI3_parity_44,t-FAPI3,combined,0.4,1877520591,24,0.07100000000000001,1,0.8588306317884453,t-FAPI3/t-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4
t-FAPI3_parity_45__combined_strain_rattle_fa_rotation__sev-0.5,combined_strain_rattle_fa_rotation,t-FAPI3_parity_45,t-FAPI3,combined,0.5,3650707289,24,0.08,2,0.8627678515078919,t-FAPI3/t-FAPI3_parity_45__combined_strain_rattle_fa_rotation__sev-0.5
t-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6,combined_strain_rattle_fa_rotation,t-FAPI3_parity_46,t-FAPI3,combined,0.6,4125719901,24,0.089,2,0.9352103473268168,t-FAPI3/t-FAPI3_parity_46__combined_strain_rattle_fa_rotation__sev-0.6
t-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7,combined_strain_rattle_fa_rotation,t-FAPI3_parity_47,t-FAPI3,combined,0.7,941248242,24,0.098,1,0.8596327481656676,t-FAPI3/t-FAPI3_parity_47__combined_strain_rattle_fa_rotation__sev-0.7
t-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8,combined_strain_rattle_fa_rotation,t-FAPI3_parity_48,t-FAPI3,combined,0.8,1565246092,24,0.107,2,0.6984931951790653,t-FAPI3/t-FAPI3_parity_48__combined_strain_rattle_fa_rotation__sev-0.8
t-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9,combined_strain_rattle_fa_rotation,t-FAPI3_parity_49,t-FAPI3,combined,0.9,2341345283,24,0.116,1,0.8228345814351883,t-FAPI3/t-FAPI3_parity_49__combined_strain_rattle_fa_rotation__sev-0.9
t-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0,combined_strain_rattle_fa_rotation,t-FAPI3_parity_50,t-FAPI3,combined,1.0,2401096036,24,0.125,2,0.8971315493880807,t-FAPI3/t-FAPI3_parity_50__combined_strain_rattle_fa_rotation__sev-1.0
