config_id,phase,family,distortion_label,severity,seed,seed_origin,seed_origin_config_id,minimum_distance_A,directory
t-FAPI3_al_global_rattle_25__global_rattle__sev-0.592__seed-new,t-FAPI3,global_rattle,global_rattle,0.592,4160889706,new,,0.775640919409967,t-FAPI3/t-FAPI3_al_global_rattle_25__global_rattle__sev-0.592__seed-new
t-FAPI3_al_combined_01__combined_strain_rattle_fa_rotation__sev-0.208__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.208,469357205,new,,0.955510868333803,t-FAPI3/t-FAPI3_al_combined_01__combined_strain_rattle_fa_rotation__sev-0.208__seed-new
t-FAPI3_al_combined_02__combined_strain_rattle_fa_rotation__sev-0.224__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.224,46993116,new,,0.9252252691960186,t-FAPI3/t-FAPI3_al_combined_02__combined_strain_rattle_fa_rotation__sev-0.224__seed-new
t-FAPI3_al_combined_03__combined_strain_rattle_fa_rotation__sev-0.240__seed-parity,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.24,4025090763,parity,t-FAPI3_parity_42__combined_strain_rattle_fa_rotation__sev-0.2,0.9193506636183901,t-FAPI3/t-FAPI3_al_combined_03__combined_strain_rattle_fa_rotation__sev-0.240__seed-parity
t-FAPI3_al_combined_04__combined_strain_rattle_fa_rotation__sev-0.256__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.256,1887064011,new,,0.8707176422904858,t-FAPI3/t-FAPI3_al_combined_04__combined_strain_rattle_fa_rotation__sev-0.256__seed-new
t-FAPI3_al_combined_05__combined_strain_rattle_fa_rotation__sev-0.272__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.272,4055266350,new,,0.9708361071758436,t-FAPI3/t-FAPI3_al_combined_05__combined_strain_rattle_fa_rotation__sev-0.272__seed-new
t-FAPI3_al_combined_06__combined_strain_rattle_fa_rotation__sev-0.288__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.288,3681915892,new,,0.8599872597153622,t-FAPI3/t-FAPI3_al_combined_06__combined_strain_rattle_fa_rotation__sev-0.288__seed-new
t-FAPI3_al_combined_07__combined_strain_rattle_fa_rotation__sev-0.304__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.304,2262441931,new,,0.9157869489342568,t-FAPI3/t-FAPI3_al_combined_07__combined_strain_rattle_fa_rotation__sev-0.304__seed-new
t-FAPI3_al_combined_08__combined_strain_rattle_fa_rotation__sev-0.320__seed-parity,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.32,1877520591,parity,t-FAPI3_parity_44__combined_strain_rattle_fa_rotation__sev-0.4,0.8718652529979264,t-FAPI3/t-FAPI3_al_combined_08__combined_strain_rattle_fa_rotation__sev-0.320__seed-parity
t-FAPI3_al_combined_09__combined_strain_rattle_fa_rotation__sev-0.336__seed-new,t-FAPI3,combined,combined_strain_rattle_fa_rotation,0.336,3139265000,new,,0.8850788868690832,t-FAPI3/t-FAPI3_al_combined_09__combined_strain_rattle_fa_rotation__sev-0.336__seed-new
