epoch,learning_rate,train_Energy_RMSE,train_Energy_MAE,train_Force_RMSE,train_Force_MAE,train_Stress_RMSE,train_Stress_MAE,train_TotalLoss,train_Energy_R2,train_Force_R2,train_Stress_R2,valid_Energy_RMSE,valid_Energy_MAE,valid_Force_RMSE,valid_Force_MAE,valid_Stress_RMSE,valid_Stress_MAE,valid_TotalLoss,valid_Energy_R2,valid_Force_R2,valid_Stress_R2
1,0.001,0.0065934973553361,0.004301983969552176,0.7884883689450481,0.060525832857850716,8.303515917728705,0.723680111340114,0.000632271961463029,0.9988055239776747,0.987093675951882,0.9810028272926761,0.005792144603046402,0.003501183646065848,0.7937830193610801,0.0696780036517909,6.797931983580554,0.8266052291506812,0.0007111972624097184,0.9991410025595455,0.9866350268702221,0.985894014598716
2,0.001,0.00499060873369554,0.002661869355610439,0.7236997305095408,0.058914726416519854,7.926160808392672,0.6973922976425716,0.0006109960680247305,0.9993156911480626,0.9891275154566959,0.9826902561853885,0.004722838206535995,0.0020506245749337335,0.7376424237989375,0.06215451629656666,6.451385723011445,0.7667515663873582,0.0006332383270733367,0.9994288907236947,0.9884586584052693,0.987295552274498
3,0.001,0.004795692523868003,0.0024075474057878767,0.6788895666313755,0.0534375960190841,7.176386669483896,0.6883889757451557,0.0005491236481257472,0.9993680989531495,0.9904322395563867,0.9858101888527993,0.004965167832236145,0.0020439965384347098,0.7133886392662878,0.06653754653670753,6.286035484925736,0.8935483160473051,0.000691942992521351,0.9993687797184468,0.9892051437544842,0.9879384426609453
4,0.001,0.005214558873266735,0.003569486311503819,0.6435319278118897,0.05343172115037526,6.703263814735588,0.6353477327596574,0.000555424631393391,0.9992528936224978,0.991402896893287,0.9876195177749275,0.005207643840056371,0.0025163446153913228,0.6644221993593317,0.06541787848595053,5.727780125982586,0.7436287559214092,0.0006670715493161575,0.9993056225201503,0.990636186549184,0.989985657497448
5,0.001,0.005054447977463669,0.0029588733400617326,0.5829220451875778,0.0533643329762063,6.043055210134373,0.6555404434601466,0.0005425553542882296,0.9992980712448667,0.9929460405644646,0.9899381443984774,0.003984193282629225,0.0016476086207798549,0.6559379621767667,0.05922274163434091,5.568390247717946,0.6866487605231149,0.0005968499651656126,0.9995935624017809,0.9908737993442339,0.9905352516582817
6,0.001,0.003795967964790315,0.0021377035549708773,0.5773648797376985,0.053200119134015254,5.802188424840214,0.6251224747725895,0.000564837733538736,0.9996040932672382,0.9930798950066019,0.9907242590309518,0.004374101357712186,0.0025879791804722376,0.6139701162004984,0.06506203861606447,5.026395227611906,0.6695220691817148,0.0006507637034904847,0.9995101188109956,0.9920042546359888,0.9922880713503934
7,0.001,0.003949638452622066,0.002946192877633231,0.4880374631460035,0.050349584884113736,4.67929600552572,0.6105506740865253,0.0005330727626139508,0.9995713891653204,0.9950555468312743,0.9939671022172254,0.008069640321733105,0.007805027280535017,0.5959432064537648,0.06408859745636426,5.019099152453474,0.6877452867371695,0.0006709916029568478,0.9983326704998998,0.9924668903160729,0.9923104441285387
8,0.001,0.004422698686668469,0.0033722851957593645,0.45416348531112105,0.047481986000915244,4.370923722548393,0.5695339505161557,0.000496934272484022,0.9994625728201773,0.9957181014748685,0.9947360543008629,0.004892844000768165,0.0027731282370431084,0.5484856459259994,0.060271640462445514,4.813745843782445,0.8129335494268508,0.0006248329212400626,0.9993870348025907,0.9936189077969468,0.9929267982444808
9,0.001,0.0035857178545147,0.002542741809572492,0.4362936354439333,0.052626243208689256,3.8573814202613743,0.5657581302381697,0.0005491551928615925,0.9996467375517796,0.9960484298157798,0.9959003186620373,0.002712609050943727,0.001181861332484654,0.5190751116340151,0.05695028028273232,4.495407762355793,0.7104992236409868,0.0005750276567481351,0.9998115971398844,0.9942848865001094,0.9938313806836925
10,0.001,0.0031244992803489482,0.0021520963736942835,0.3692014188856151,0.04620792496504274,3.4868296386692332,0.5389595947095326,0.0004806810713722761,0.999731770048055,0.9971703113159485,0.9966501421051346,0.0029705585994025414,0.002406999043055943,0.480259423435497,0.05990452861386025,4.002928452831752,0.6138586248670306,0.0005944759418093781,0.9997740619758504,0.9951076634887628,0.9951089128243719
11,0.001,0.003655558130316424,0.0026768199035099574,0.32763553189310635,0.04775582372642413,2.938452316442773,0.5459578264327276,0.0004926812049458899,0.9996328436463656,0.9977715958914296,0.997620957241835,0.002332632189544421,0.001258155277797154,0.4619642668974346,0.05613645308297635,3.919831488576848,0.6683608293533325,0.0005637206607252665,0.9998606825209254,0.9954733040302214,0.9953098736901812
12,0.001,0.004071947740519896,0.002957475185394287,0.27216539162567005,0.045204925680810304,2.7062136850434495,0.49150446710132417,0.00046557641764715237,0.9995444412251955,0.9984622782705637,0.9979821489286418,0.005872623094197975,0.004410866328648158,0.4594877821515388,0.06975288529815914,3.7361872856938163,0.6420835688000633,0.0007017349596551666,0.9991169661830395,0.995521708638416,0.995739044113234
13,0.001,0.003199321467645133,0.002346038818359375,0.2406039086626252,0.04383611247974372,2.493260235415316,0.4934170028993062,0.0004543195302114944,0.9997187707486666,0.9987982411795415,0.9982872255639877,0.0030955352260536194,0.002401467732020787,0.3926373865412442,0.05771549577108219,3.591325218130346,0.7511847711744762,0.0005809653624697198,0.9997546508377271,0.9967299999693117,0.9960630559596394
